ecfp_feature_25,ecfp_feature_33,ecfp_feature_39,ecfp_feature_45,ecfp_feature_98,ecfp_feature_112,ecfp_feature_116,ecfp_feature_128,ecfp_feature_136,ecfp_feature_144,ecfp_feature_147,ecfp_feature_191,ecfp_feature_202,ecfp_feature_233,ecfp_feature_278,ecfp_feature_294,ecfp_feature_314,ecfp_feature_333,ecfp_feature_344,ecfp_feature_352,ecfp_feature_356,ecfp_feature_360,ecfp_feature_361,ecfp_feature_375,ecfp_feature_378,ecfp_feature_433,ecfp_feature_452,ecfp_feature_578,ecfp_feature_650,ecfp_feature_674,ecfp_feature_694,ecfp_feature_725,ecfp_feature_726,ecfp_feature_780,ecfp_feature_790,ecfp_feature_801,ecfp_feature_807,ecfp_feature_830,ecfp_feature_831,ecfp_feature_849,ecfp_feature_875,ecfp_feature_888,ecfp_feature_896,ecfp_feature_930,ecfp_feature_932,ecfp_feature_935,ecfp_feature_940,ecfp_feature_960,ecfp_feature_963,ecfp_feature_969,ecfp_feature_1004,ecfp_feature_1009,radius,diameter,num_heteroatoms,num_rotatable_bonds,num_h_acceptors,num_h_donors,tpsa,mol_wt,o%,n%,c%,capacity_max,smiles
6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0,12.0,3.0,0.0,0.0,2.0,0.0,3.0,14.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,10.0,19.0,9.0,7.0,9.0,4.0,151.65,515.159354152,0.10256410256410256,0.1282051282051282,0.7692307692307693,256.0,NC1=C(O)C=C(N=CC(C=C2)=CC=C2C3=NC(C4=CC=C(C=O)C=C4)=NC(C5=CC=C(C=O)C=C5)=N3)C(O)=C1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,11.0,9.0,3.0,9.0,4.0,126.61999999999999,250.12905706799998,0.05555555555555555,0.4444444444444444,0.5,335.0,NC1=NC(N=CN(CC2)CCN2C=O)=NC(N)=N1
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,4.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,10.0,2.0,10.0,2.0,157.29999999999998,448.09200286400005,0.11764705882352941,0.17647058823529413,0.7058823529411765,256.0,O=C(N(N1)C2=CC=C(C#N)C=C2)C3=C(C1=O)C=C(C4=O)C(C(N(N4)C5=CC=C(C#N)C=C5)=O)=C3
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,18.0,8.0,2.0,8.0,0.0,125.71999999999997,418.07020479999994,0.125,0.125,0.75,231.0,O=C(N1C2=CC=C(C#N)C=C2)C3=CC4=C(C(N(C(C=C5)=CC=C5C#N)C4=O)=O)C=C3C1=O
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,8.0,2.0,6.0,5.0,102.74,285.9636273240001,0.0,0.4,0.4666666666666667,407.0,Nc1nc(N)nc(Nc2sc(Br)cc2)n1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,14.0,0.0,14.0,0.0,213.89999999999992,504.0090610879999,0.21052631578947367,0.15789473684210525,0.631578947368421,663.0,O=C1C(C(c2c(C1=O)nc3cc4nc5cc6nc7c(C(C(C(C7=O)=O)=O)=O)nc6cc5nc4cc3n2)=O)=O
0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,2.0,5.0,3.0,89.25999999999999,346.1317424359999,0.11538461538461539,0.07692307692307693,0.8076923076923077,379.0,C/C=C1C(/C(C(/C(C\1=O)=C/Nc2c3cccc(N)c3ccc2)=O)=C\C)=O
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,23.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,6.0,0.0,1.0,16.0,8.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,25.0,16.0,7.0,16.0,8.0,267.38,772.1553909680001,0.1724137931034483,0.10344827586206896,0.7241379310344828,67.0,O=C1N(c2cc(C3=Nc4ccc(c5ccc(N)c(N)c5)cc4N3)cc(C(O)=O)c2)C(c6c7c1ccc(C8=O)c7c(C(N8c9cc(C(O)=O)cc(C(O)=O)c9)=O)cc6)=O
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,29.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,6.0,0.0,1.0,20.0,8.0,1.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,29.0,16.0,7.0,16.0,8.0,267.38,896.1866910960002,0.14705882352941177,0.08823529411764706,0.7647058823529411,6.0,O=C1N(c2cc(C3=Nc4cc(c5ccc(N)c(N)c5)ccc4N3)cc(C(O)=O)c2)C(c6c7c1ccc8c7c(c9c%10c8ccc(C%11=O)c%10c(C(N%11c%12cc(C(O)=O)cc(C(O)=O)c%12)=O)cc9)cc6)=O
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,21.0,0.0,3.0,0.0,1.0,2.0,0.0,4.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,0.0,1.0,14.0,10.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,24.0,16.0,7.0,16.0,8.0,270.75999999999993,722.1397409040001,0.18518518518518517,0.1111111111111111,0.7037037037037037,88.0,Nc1c(N)cc(c(cc2)cc3c2nc(c4cc(N5C(c6c(C5=O)cc7c(C(N(C7=O)c8cc(C(O)=O)cc(C(O)=O)c8)=O)c6)=O)cc(C(O)=O)c4)[nH]3)cc1
